"key","message","comment","context"
"Address",,,
"Address / Venue",,,
"Amount","Amount Paid",,
"Amount collected","Amount Collected",,
"Before days",,,
"Capacity","Event Capacity",,
"City",,,
"Computational Data",,,
"Country",,,
"Description","Event Description",,
"Discount",,,
"Discount Details",,,
"Discount amount",,,
"Discount percentage",,,
"Discounts",,,
"Email","Email",,
"Email check",,,
"End date","Event End Date",,
"End date should not behind the end date",,,
"Event",,,
"Event Registration",,,
"Event Timeline",,,
"Event fees","Event Fees",,
"Event registration",,,
"Flat house number",,,
"Full Address",,,
"Full name","Address",,
"Import",,,
"Import Registartion",,,
"Import Registration",,,
"Input file",,,
"Landmark",,,
"Mail Status",,,
"Name","Name",,
"Overview",,,
"Print Event Details",,,
"Reference","Event Name",,
"Registration Amount",,,
"Registration close","Registartion Close Date",,
"Registration close date should not behind the registration open date",,,
"Registration date","Registartion Date",,
"Registration open","Registartion Open Date",,
"Registration open date should not be ahead of registration open date",,,
"Send Email",,,
"Start date","Event Start Date",,
"Start date should not be ahead of end date",,,
"Street",,,
"Total discount","Total Discount",,
"Total entry","Total Entries",,
"Venue","Event Venue",,
